Filename,CircleRadius1(CR_B1),CircleRadius2(CR_B2),NormalAngle(Beta),Type
BG0001_L_siphon_lab,1.958,4.129,45.092,U
BG0001_R_siphon_lab,1.477,4.167,39.845,V
BG0004_L_siphon_lab,1.85,4.001,31.524,U
BG0004_R_siphon_lab,1.647,2.778,46.197,U
BG0006_L_siphon_lab,1.782,2.262,43.402,U
BG0006_R_siphon_lab,2.09,4.174,56.292,U
BG0007_L_siphon_lab,1.21,5.548,49.937,V
BG0007_R_siphon_lab,1.846,3.642,55.039,U
BG0008_L_siphon_lab,2.725,6.227,45.164,U
BG0008_R_siphon_lab,2.222,18.059,24.679,U
BG0009_L_siphon_lab,2.125,3.824,49.932,U
BG0009_R_siphon_lab,2.091,2.735,70.519,U
BG0010_L_siphon_lab,2.482,4.667,34.405,U
BG0010_R_siphon_lab,1.419,3.599,68.637,C
BG0011_L_siphon_lab,2.466,2.069,61.499,U
BG0011_R_siphon_lab,1.259,2.377,46.194,S
BG0012_L_siphon_lab,1.88,6.928,55.262,U
BG0012_R_siphon_lab,1.216,4.746,42.058,V
BG0017_L_siphon_lab,1.61,3.337,27.075,U
BG0017_R_siphon_lab,1.16,3.404,56.701,C
BG0018_L_siphon_lab,2.022,2.444,35.822,U
BG0018_R_siphon_lab,3.008,5.129,57.648,U
BG0019_L_siphon_lab,4.216,6.309,7.333,U
BG0019_R_siphon_lab,5.271,5.895,18.568,U
BG0020_L_siphon_lab,2.441,4.038,38.171,U
BG0020_R_siphon_lab,2.116,3.156,8.466,U
BG0021_R_siphon_lab,2.731,3.912,55.891,U
BG0022_L_siphon_lab,2.696,6.063,67.223,U
BG0022_R_siphon_lab,2.885,6.057,53.347,U
BH0005_L_siphon_lab,2.283,10.771,40.312,U
BH0005_R_siphon_lab,1.522,4.885,27.891,U
BH0006_L_siphon_lab,1.531,5.512,47.788,U
BH0006_R_siphon_lab,1.262,6.364,40.525,V
BH0009_L_siphon_lab,2.156,8.97,49.453,U
BH0009_R_siphon_lab,2.734,6.998,63.097,U
BH0010_L_siphon_lab,1.119,4.85,84.456,C
BH0010_R_siphon_lab,1.374,3.791,60.941,C
BH0011_L_siphon_lab,1.956,2.781,48.502,U
BH0011_R_siphon_lab,1.562,2.633,69.218,U
BH0013_L_siphon_lab,1.756,4.529,34.435,U
BH0013_R_siphon_lab,1.529,8.988,27.79,U
BH0014_L_siphon_lab,1.596,3.766,44.25,U
BH0014_R_siphon_lab,2.79,4.032,56.051,U
BH0016_L_siphon_lab,2.34,2.263,36.579,U
BH0016_R_siphon_lab,2.317,3.103,34.292,U
BH0017_L_siphon_lab,1.936,11.417,27.393,U
BH0017_R_siphon_lab,2.22,7.192,29.087,U
BH0018_L_siphon_lab,1.434,4.916,8.741,V
BH0018_R_siphon_lab,1.083,2.493,30.481,S
BH0019_L_siphon_lab,1.067,2.928,30.662,S
BH0019_R_siphon_lab,2.049,6.562,60.201,U
BH0020_L_siphon_lab,2.181,8.709,68.475,U
BH0020_R_siphon_lab,1.637,3.889,38.781,U
BH0021_L_siphon_lab,1.79,3.847,29.593,U
BH0023_L_siphon_lab,1.456,4.075,9.5,V
BH0024_L_siphon_lab,1.98,7.557,34.967,U
BH0024_R_siphon_lab,2.201,4.091,28.162,U
BH0025_R_siphon_lab,1.591,3.856,33.04,U
BH0026_L_siphon_lab,1.49,11.858,30.255,V
BH0026_R_siphon_lab,1.582,8.69,1.685,U
BH0029_L_siphon_lab,1.828,5.152,65.652,U
BH0029_R_siphon_lab,2.185,14.946,52.616,U
BH0030_L_siphon_lab,0.653,3.546,1.239,V
BH0030_R_siphon_lab,1.878,2.642,36.121,U
BH0031_L_siphon_lab,1.494,10.252,4.033,V
BH0031_R_siphon_lab,1.898,3.454,23.74,U
BH0034_L_siphon_lab,1.731,15.384,21.08,U
BH0034_R_siphon_lab,1.343,4.571,20.557,V
BH0035_L_siphon_lab,1.933,1.931,27.886,U
BH0035_R_siphon_lab,1.432,2.799,30.686,S
BH0036_R_siphon_lab,1.476,1.941,45.243,S
BH0038_L_siphon_lab,2.109,3.006,68.666,U
BH0038_R_siphon_lab,1.734,2.467,21.057,U
BH0039_L_siphon_lab,2.313,3.175,47.563,U
BH0039_R_siphon_lab,2.43,2.354,44.684,U
BI0001_L_siphon_lab,2.586,16.391,42.063,U
BI0001_R_siphon_lab,3.126,12.177,23.859,U
