Filename,CR_B1,CR_B2,β,Type
BG0001_L_siphon_lab,1.958331586363785,4.128715519438777,45.09156148950451,U
BG0001_R_siphon_lab,1.477348464859362,4.166966929895545,39.84507681743682,V
BG0004_L_siphon_lab,1.850324863252392,4.000716194144693,31.52379500909001,U
BG0004_R_siphon_lab,1.647473357780411,2.777819442282532,46.19683303866486,U
BG0006_L_siphon_lab,1.781617740435848,2.261763239171245,43.40176698846585,U
BG0006_R_siphon_lab,2.090234845568384,4.174156049104842,56.29190964019877,U
BG0007_L_siphon_lab,1.20994019844052,5.547849767916522,49.93723697938711,V
BG0007_R_siphon_lab,1.845681979946543,3.641503445499256,55.03913022486126,U
BG0008_L_siphon_lab,2.724974513757865,6.226726653941398,45.1644200527906,U
BG0008_R_siphon_lab,2.222440835516684,18.05939432075046,24.67860080083156,U
BG0009_L_siphon_lab,2.124910730477238,3.824274540092313,49.93210382907918,U
BG0009_R_siphon_lab,2.091149442198668,2.735160700800108,70.51928594537321,U
BG0010_L_siphon_lab,2.482034271491616,4.667440784427507,34.40458917039331,U
BG0010_R_siphon_lab,1.419210858711702,3.598780819023227,68.63664023044745,C
BG0011_L_siphon_lab,2.465974808234754,2.069058503366259,61.49946271997632,U
BG0011_R_siphon_lab,1.259223037723059,2.377429817708339,46.19362296388209,S
BG0012_L_siphon_lab,1.879616693902016,6.928486440417239,55.26216447145065,U
BG0012_R_siphon_lab,1.215993583567906,4.745547551852503,42.05781629910039,V
BG0017_L_siphon_lab,1.609786361223442,3.337392334190862,27.07548454131583,U
BG0017_R_siphon_lab,1.159513683408361,3.40399382546372,56.70129118973253,C
BG0018_L_siphon_lab,2.021946771940832,2.444436730751955,35.82188515251258,U
BG0018_R_siphon_lab,3.008470405998413,5.129158094703043,57.64842422413397,U
BG0019_L_siphon_lab,4.216297984639223,6.309403287043049,7.333134968427458,U
BG0019_R_siphon_lab,5.271064062768156,5.894964003001553,18.56801109066513,U
BG0020_L_siphon_lab,2.440740694147926,4.038307584332208,38.17119266109404,U
BG0020_R_siphon_lab,2.115815459220133,3.156470090662234,8.466126904449737,U
BG0021_R_siphon_lab,2.731327965320672,3.912007042176398,55.89112492731584,U
BG0022_L_siphon_lab,2.695629068435542,6.062536215914092,67.2231391780088,U
BG0022_R_siphon_lab,2.884707470693713,6.057059283722412,53.34728310326204,U
BH0005_L_siphon_lab,2.283455054091667,10.77113771160885,40.31193837890255,U
BH0005_R_siphon_lab,1.521729532449166,4.884610569394553,27.89063049301947,U
BH0006_L_siphon_lab,1.531133518657746,5.512126580319769,47.78771590799963,U
BH0006_R_siphon_lab,1.261804208219238,6.364214600345062,40.52517536914677,V
BH0009_L_siphon_lab,2.15629430222636,8.970483573618715,49.45252521324429,U
BH0009_R_siphon_lab,2.733642625005384,6.997688378638473,63.09696816392131,U
BH0010_L_siphon_lab,1.119136839908515,4.849577662654137,84.45631111232052,C
BH0010_R_siphon_lab,1.373763597110047,3.790735120268224,60.94090031679506,C
BH0011_L_siphon_lab,1.956085020619452,2.780806349428292,48.50152297482256,U
BH0011_R_siphon_lab,1.562295086920943,2.633144504762257,69.21831057959164,U
BH0013_L_siphon_lab,1.756094078160946,4.529446648429043,34.43496136954192,U
BH0013_R_siphon_lab,1.52927650494023,8.98806241769417,27.78951008174977,U
BH0014_L_siphon_lab,1.595686881760603,3.765832305737285,44.25004074773059,U
BH0014_R_siphon_lab,2.789794190347739,4.032182668707466,56.05050340716146,U
BH0016_L_siphon_lab,2.340410325991983,2.263475427528403,36.57893857119774,U
BH0016_R_siphon_lab,2.316781983391293,3.10341842786865,34.29224548663987,U
BH0017_L_siphon_lab,1.93570373429444,11.41689541233992,27.39344041862199,U
BH0017_R_siphon_lab,2.220358929072532,7.192385457043301,29.08696567478239,U
BH0018_L_siphon_lab,1.434156239870885,4.916310316616467,8.741402884215603,V
BH0018_R_siphon_lab,1.082888639072636,2.493139708813688,30.48083542812474,S
BH0019_L_siphon_lab,1.066777030043476,2.92824264380765,30.66241135973612,S
BH0019_R_siphon_lab,2.049208005922248,6.562347001982731,60.20074837205838,U
BH0020_L_siphon_lab,2.181345078901946,8.708840612197665,68.47505117691922,U
BH0020_R_siphon_lab,1.637103830678373,3.888852908022471,38.78137377579839,U
BH0021_L_siphon_lab,1.790172174899312,3.847051849437813,29.59294439417039,U
BH0023_L_siphon_lab,1.455635179336986,4.074989187885489,9.499696292155642,V
BH0024_L_siphon_lab,1.98023756371631,7.556939269505427,34.9669189992716,U
BH0024_R_siphon_lab,2.200939980359114,4.091334382978884,28.16236167443469,U
BH0025_R_siphon_lab,1.591485104200337,3.855570059465359,33.04012301051245,U
BH0026_L_siphon_lab,1.489912963008463,11.85801382178436,30.25535732441884,V
BH0026_R_siphon_lab,1.581787657727125,8.690227757579695,1.685379079185594,U
BH0029_L_siphon_lab,1.828359203896721,5.152462822260365,65.65153003706784,U
BH0029_R_siphon_lab,2.184754893110318,14.94554005917708,52.61640397564852,U
BH0030_L_siphon_lab,0.6526796851842912,3.545900252663702,1.238652167664487,V
BH0030_R_siphon_lab,1.877905991050014,2.642447909533175,36.12147861477767,U
BH0031_L_siphon_lab,1.494333586235269,10.25230224491892,4.032751767228177,V
BH0031_R_siphon_lab,1.898453532701294,3.454249376197888,23.74014550840613,U
BH0034_L_siphon_lab,1.730950729570024,15.38387656441189,21.0804529509571,U
BH0034_R_siphon_lab,1.342687434564769,4.570983013472255,20.55733114766494,V
BH0035_L_siphon_lab,1.933094231218086,1.93088894135571,27.88631722294044,U
BH0035_R_siphon_lab,1.432391528673262,2.798945407726517,30.6857265618265,S
BH0036_R_siphon_lab,1.476221491826847,1.940881532803925,45.2431186385429,S
BH0038_L_siphon_lab,2.109344369721846,3.005779962027996,68.666152368628,U
BH0038_R_siphon_lab,1.733567683118922,2.467180652606442,21.05717422491097,U
BH0039_L_siphon_lab,2.312968176259261,3.175105285981901,47.56276066253368,U
BH0039_R_siphon_lab,2.429796473013774,2.353876789910781,44.68397647475459,U
BI0001_L_siphon_lab,2.586089522116,16.39077044899629,42.06288248226269,U
BI0001_R_siphon_lab,3.126386781436413,12.17734197256093,23.85888844453625,U
