x,y,z,long,length_11,curvature,torsion,
71.643,92.235,164.04,0,0,0,0.0174628,0.00328864
71.5823,92.4275,164.271,0.306760069,0.306760069,3.01917,0.0174585,0.00343146
71.5226,92.6181,164.503,0.306131426,0.612891495,3.01666,0.0174501,0.00392884
71.465,92.8048,164.737,0.304845289,0.917736784,3.04913,0.0174384,0.0047682
71.4104,92.9855,164.975,0.303772365,1.221509149,2.99605,0.0174283,0.00551928
71.3598,93.1585,165.217,0.301750493,1.523259642,2.93852,0.0174086,0.0069132
71.3143,93.3217,165.466,0.301173521,1.824433164,2.89386,0.0173826,0.00861436
71.2749,93.4732,165.722,0.300067676,2.124500839,2.84377,0.0173491,0.01063
71.2427,93.611,165.986,0.299535774,2.424036613,2.77614,0.017322,0.0121421
71.2185,93.7331,166.259,0.300038414,2.724075028,2.76612,0.0172734,0.0145382
71.2034,93.8377,166.543,0.303026682,3.02710171,2.72237,0.0172143,0.0170793
71.1979,93.9234,166.838,0.307245407,3.334347116,2.77805,0.0171436,0.0197802
71.2003,93.9921,167.144,0.31362629,3.647973407,2.78654,0.0170896,0.0215846
71.2081,94.0461,167.458,0.318704942,3.966678349,2.81833,0.0169974,0.0240967
71.2191,94.088,167.778,0.322918891,4.289597239,2.81108,0.0168914,0.0263859
71.2309,94.1201,168.102,0.325800015,4.615397255,2.78923,0.0168126,0.027794
71.2412,94.1451,168.429,0.32811597,4.943513225,2.67552,0.0166816,0.0294781
71.2477,94.1652,168.757,0.32867957,5.272192796,2.30297,0.0165343,0.0304403
71.248,94.1831,169.084,0.327489694,5.59968249,2.12361,0.0163695,0.0306729
71.2399,94.2011,169.408,0.324600693,5.924283183,2.04108,0.0162493,0.0304198
71.2209,94.2217,169.727,0.320228606,6.244511789,1.97862,0.0160524,0.029462
71.1897,94.247,170.04,0.315566998,6.560078787,1.78362,0.0158346,0.0277913
71.1479,94.2777,170.347,0.311349851,6.871428638,1.73192,0.0155945,0.0253675
71.0982,94.314,170.65,0.30918729,7.180615928,1.70748,0.0154213,0.0233254
71.0432,94.3562,170.947,0.304983344,7.485599271,1.61376,0.0151395,0.0196195
70.9855,94.4046,171.241,0.303492751,7.789092023,1.42351,0.0148284,0.0150719
70.9278,94.4595,171.532,0.301702337,8.090794359,1.62377,0.0146032,0.0115193
70.8727,94.5211,171.821,0.300585379,8.391379738,1.90584,0.0142364,0.00556097
70.8227,94.5897,172.108,0.299290762,8.6906705,2.06978,0.013833,-0.00108372
70.7806,94.6656,172.395,0.299836989,8.990507489,2.06199,0.0133913,-0.00860772
70.7488,94.749,172.681,0.299604406,9.290111895,2.05426,0.0130748,-0.0142239
70.7295,94.84,172.967,0.300748217,9.590860112,2.0828,0.0125663,-0.0236217
70.7225,94.9376,173.254,0.303222295,9.894082406,2.16009,0.0120171,-0.0345183
70.7269,95.0405,173.541,0.304920924,10.19900333,2.23412,0.0114274,-0.0474502
70.742,95.1473,173.828,0.306599494,10.50560283,2.30286,0.0110123,-0.0574054
70.7669,95.2568,174.113,0.306325415,10.81192824,2.30066,0.0103595,-0.0746104
70.8009,95.3677,174.398,0.307700845,11.11962909,2.28499,0.00967527,-0.0954655
70.8433,95.4787,174.681,0.306932827,11.42656191,2.28381,0.00920481,-0.112072
70.8931,95.5886,174.963,0.306727974,11.73328989,2.40614,0.00848388,-0.141986
70.9497,95.696,175.243,0.305185714,12.0384756,2.3777,0.00775576,-0.179395
71.0122,95.7997,175.52,0.302306037,12.34078164,2.37097,0.0070356,-0.226677
71.0797,95.8987,175.795,0.299970415,12.64075205,2.32815,0.00656897,-0.264962
71.1507,95.9928,176.067,0.29644529,12.93719734,2.30893,0.00590609,-0.334035
71.2234,96.0824,176.337,0.29362127,13.23081861,2.307,0.0053129,-0.416505
71.2961,96.1675,176.606,0.291355968,13.52217458,2.26173,0.00482335,-0.50534
71.3672,96.2485,176.874,0.288860191,13.81103477,2.1914,0.00457302,-0.55975
71.435,96.3256,177.141,0.286059871,14.09709464,2.11861,0.00433694,-0.614893
71.4977,96.399,177.407,0.282974999,14.38006964,2.15649,0.00428591,-0.618037
71.5536,96.4688,177.673,0.280629382,14.66069902,2.11584,0.00435394,-0.589384
71.6011,96.5353,177.939,0.278270552,14.93896957,2.07096,0.00459025,-0.515704
71.6384,96.5988,178.205,0.276006413,15.21497599,2.0684,0.00495374,-0.429126
71.6644,96.6594,178.473,0.275993406,15.49096939,2.08877,0.00540474,-0.34806
71.6802,96.7176,178.742,0.27567713,15.76664652,2.11048,0.00573687,-0.301148
71.6874,96.7738,179.013,0.276859676,16.0435062,2.10429,0.00626226,-0.242756
71.6876,96.8285,179.287,0.279406747,16.32291295,2.12962,0.00680283,-0.19709
71.6824,96.882,179.564,0.282167131,16.60508008,2.16227,0.00734408,-0.16157
71.6735,96.935,179.845,0.286093009,16.89117309,2.18701,0.00770001,-0.14234
71.6625,96.9877,180.131,0.291022834,17.18219592,2.21778,0.0082209,-0.118694
71.651,97.0406,180.422,0.295992669,17.47818859,2.06346,0.00872117,-0.0998811
71.6407,97.0942,180.719,0.301973592,17.78016218,2.04972,0.00904103,-0.0894173
71.6331,97.1489,181.022,0.307991639,18.08815382,2.07168,0.00949767,-0.0760884
71.6294,97.2051,181.332,0.315074801,18.40322862,2.0118,0.00992367,-0.0649482
71.629,97.2625,181.647,0.32018732,18.72341594,2.08349,0.0103162,-0.0554857
71.6308,97.3209,181.966,0.324306645,19.04772259,2.14558,0.0105581,-0.0499259
71.6337,97.3799,182.287,0.326389966,19.37411255,2.19491,0.0108905,-0.0426054
71.6365,97.4393,182.608,0.326461636,19.70057419,2.19113,0.0111864,-0.0362683
71.6381,97.4987,182.929,0.32645355,20.02702774,2.15047,0.0114461,-0.0306847
71.6374,97.5578,183.246,0.322462866,20.3494906,2.08796,0.0115994,-0.0273396
71.6334,97.6164,183.559,0.318463436,20.66795404,2.03871,0.0118009,-0.022877
71.6249,97.6742,183.866,0.312509344,20.98046338,2.13415,0.0119702,-0.0189589
71.6107,97.7308,184.165,0.3046411,21.28510448,2.12041,0.0120662,-0.0165952
71.5902,97.786,184.456,0.296897777,21.58200226,2.16082,0.012187,-0.0134519
71.5636,97.8398,184.737,0.28733778,21.86934004,2.18016,0.0122828,-0.0107984
71.5317,97.8925,185.012,0.281815365,22.15115541,2.20138,0.012357,-0.00857426
71.495,97.9442,185.279,0.274424452,22.42557986,2.20991,0.0123962,-0.0073074
71.4543,97.995,185.541,0.269965053,22.69554491,2.21841,0.0124419,-0.00570379
71.4103,98.0451,185.799,0.266477035,22.96202195,2.23283,0.0124746,-0.00443494
71.3636,98.0946,186.052,0.261992633,23.22401458,2.25769,0.012497,-0.00348375
71.3148,98.1436,186.303,0.26035253,23.48436711,2.22851,0.0125077,-0.00300327
71.2647,98.1924,186.552,0.258635748,23.74300286,2.22933,0.0125188,-0.00246949
71.214,98.241,186.8,0.257752692,24.00075555,0,0.0125258,-0.00215547
